time,pop,nrfr,fpc,iopc,ppolx,io,f,le,sopc,ciopc,hwi,ef,nr,pp,al,lfert
1900.0,1600000000.0,1.0,269.325,41.5625,0.18382352941176472,66500000000.0,430920000000.0,29.11002255148156,90.0,17.871875,0.20465046875577908,0.49738743455497386,1000000000000.0,25000000.0,900000000.0,600.0
1900.5,1603564734.6401556,0.9998586875,272.14072608604096,42.12560280576084,0.17848433123249297,67551131084.77648,436395271210.9415,29.254747578790486,89.42883664252942,18.114009206477164,0.20612887690180873,0.4989042458898911,999858687500.0,24273869.047619045,901365321.562077,599.4485294117648
1901.0,1607990257.3312097,0.9997151413464448,273.9514811344818,42.786249724821516,0.1744163707149526,68799872705.25314,440511312645.7015,29.348382688910053,89.17620885288501,18.39808738167325,0.20745454462606205,0.5003161583057155,999715141346.4448,23720626.417233557,902759777.9819919,598.9491770253283
1901.5,1613179727.5509477,0.9995689416169462,275.19381999549245,43.49996026546921,0.17131697222539807,70173254049.52667,443937091564.0331,29.41279181588524,89.12554606275108,18.70498291415176,0.20868753453421637,0.5016883925171797,999568941616.9462,23299108.222654138,904191206.2827386,598.4965939700284
1902.0,1619021263.4656315,0.9994198234520909,276.11715104498256,44.232236251957254,0.16895552575716605,71612931022.55414,447039538749.37823,29.46044337329625,89.19194313600411,19.01986158834162,0.20985091394000036,0.5030541748538498,999419823452.091,22977951.50297458,905664922.3547499,598.0860231586014
1902.5,1625393267.22203,0.999267645973668,276.86132649521505,44.94361886534112,0.1671569069414503,73051055508.31847,450008536039.4828,29.498173610942963,89.2887563151548,19.32575611209668,0.21093221417787067,0.5044242922669484,999267645973.668,22733339.344037242,907183922.2121503,597.7131830123932
1903.0,1632157488.777654,0.9991124124807128,277.49196986971236,45.63870653335024,0.16578862564930405,74489556646.53323,452910596698.5141,29.529550705113866,89.42378061243187,19.6246438093406,0.21195644988931792,0.5058088193637165,999112412480.7128,22547253.08830535,908752461.7733022,597.3742179954694
1903.5,1639207024.848538,0.9989541221728389,278.054555302686,46.32148430774316,0.16475090006079668,75930502478.66391,455788980343.2992,29.557075447892345,89.60199525425695,19.918238252329562,0.21294209828163524,0.5072140256385379,998954122172.8389,22406122.408268347,910372269.4423679,597.0656708085967
1904.0,1646460235.664963,0.9987927698550717,278.58102685887917,46.99536152948554,0.1639690060264719,77375994018.9969,458672583133.85754,29.582524196064625,89.82623597570665,20.208005457678784,0.21390299391066162,0.5086435168695453,998792769855.0717,22299784.81960018,912042907.4077507,596.7844540192831
1904.5,1653855622.6662734,0.9986283458677813,279.0916687139843,47.641064308526055,0.16338738234787506,78791442076.46133,461577325541.9357,29.606789282541637,90.05583797392096,20.485657652666205,0.21482055289207316,0.5100929214182313,998628345867.7812,22220683.999311008,913763991.4257822,596.5278202316421
1905.0,1661324590.954909,0.9984609140533688,279.59070063880176,48.282235564085475,0.16296509164219766,80212465248.89287,464490906373.5538,29.63044751751241,90.33366606333435,20.761361292556757,0.2157269326797203,0.5115664896659876,998460914053.3688,22163252.46333888,915533704.6116856,596.2933302118859
1905.5,1668836670.2641532,0.9982904625647149,280.0896914224343,48.92353551861515,0.16267232700924208,81645390112.43573,467423948008.72943,29.654191912724393,90.66362076023442,21.037120273004515,0.2166315562271517,0.5130663909143407,998290462564.7148,22123436.473256923,917351456.9808484,596.0788194375759
